BIN,Address,Borough,Legal Owner (MapPLUTO),Complaints (12mo),Complaints (3yr),Loss of Service % (30d),Risk Level,AI Headline
2015733,2907 KINGSBRIDGE TERRACE,Bronx,PARKASH 2907 LLC,3,5,0.00%,HIGH,Urgent Action Required: Chronic Elevator Issues and High Risk at 2907 KINGSBRIDGE TERRACE
2114452,31 WEST TREMONT AVENUE,Bronx,SENIOR LIVING OPTIONS INC,3,11,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 31 West Tremont Avenue: Immediate Intervention Required
2014503,50 WEST 182 STREET,Bronx,MOTTO CAPITAL LLC,3,9,0.28%,HIGH,"Persistent Elevator Failures Plague 50 WEST 182 STREET, Warranting Immediate Intervention"
2007909,65 MT HOPE PLACE,Bronx,MT. HOPE PLACE PRPRTS,3,3,0.28%,HIGH,Urgent Elevator Reliability Concerns at 65 Mt Hope Place Require Immediate Action
2013929,75 EAST 190 STREET,Bronx,GARDINERS PROPERTIES,3,11,0.00%,CRITICAL,Critical Elevator System Failure and Persistent Unreliability at 75 East 190 Street
2017587,1 EAST 198 STREET,Bronx,"BUJAR PROPERTIES GROUP, LLC",2,5,0.00%,HIGH,Elevator Malfunctions Persist at 1 EAST 198 STREET: Urgent Intervention Required Amidst High Tenant Frustration
2007626,110 EAST  177 STREET,Bronx,RE MO HOLDING CORP,2,4,0.28%,CRITICAL,Building 110 EAST 177 STREET: Chronic Elevator Safety Failures Demand Urgent Intervention
2015423,115 WEST 197 STREET,Bronx,JW REALTY CORP,2,4,0.00%,HIGH,Elevator Service at 115 West 197 Street Requires Immediate Proactive Monitoring Due to Chronic Failures and Escalating Community Frustration
2007883,124 EAST 176 STREET,Bronx,124E 176 ASSOC LLC,2,8,0.28%,CRITICAL,Elevator at 124 EAST 176 STREET: Chronic Malfunctions Demand Urgent Intervention
2007627,124 EAST 177 STREET,Bronx,V & S 177 LLC,2,6,0.00%,HIGH,Escalating Elevator Service Failures at 124 East 177 Street Demand Proactive Intervention
2118175,150 FEATHERBED LANE,Bronx,UNAVAILABLE OWNER,2,3,0.28%,CRITICAL,Critical Elevator System Failure at 150 Featherbed Lane Requires Urgent Intervention
2092064,1590 UNDERCLIFF AVENUE,Bronx,UNDERCLIFF HOLDING LLC,2,5,0.00%,CRITICAL,Critical Elevator Service Failure at 1590 Undercliff Avenue Demands Immediate Intervention
2008438,1630 GRAND AVENUE,Bronx,PARKASH 1630 LLC,2,15,0.00%,CRITICAL,Elevator System Critical at 1630 Grand Avenue: Urgent Intervention Required
2008858,1647 MACOMBS ROAD,Bronx,UNIMAC DEVELOPER LP,2,3,0.00%,HIGH,Executive Summary: Persistent Elevator Reliability Issues at 1647 Macombs Road Demand Urgent Intervention
2008344,1672 DAVIDSON AVENUE,Bronx,ANN-GUR REALTY CORP,2,5,0.28%,HIGH,Critical Elevator Safety Concerns and Escalating Tenant Frustration at 1672 Davidson Avenue
2127549,1698 NELSON AVENUE,Bronx,"ASHLEY'S ESTATES, LLC",2,4,0.00%,HIGH,Elevator Reliability Crisis at 1698 Nelson Avenue Demands Urgent Proactive Intervention
2009058,1865 UNIVERSITY AVENUE,Bronx,NYC HOUSING AUTHORITY,2,5,0.00%,CRITICAL,Critical Elevator Compliance and Maintenance Issues Identified at 1865 University Avenue
2007907,1895 MORRIS AVENUE,Bronx,1895 LLC,2,5,0.00%,HIGH,Persistent Elevator Malfunctions at 1895 Morris Avenue Warrant Urgent Attention
2009112,1915 BILLINGSLEY TERRACE,Bronx,1915 REALTY LLC,2,5,0.28%,CRITICAL,Critical Elevator Malfunctions Persist at 1915 Billingsley Terrace
2008636,1985 DAVIDSON AVENUE,Bronx,DAVIDSON BRONX  LLC,2,3,0.00%,HIGH,Persistent Elevator Failures at 1985 Davidson Avenue Demand Urgent Intervention
2008394,2000 DAVIDSON AVENUE,Bronx,2000 HOLDINGS LLC,2,3,0.56%,CRITICAL,Critical Elevator Reliability Issues and High Tenant Frustration at 2000 Davidson Avenue
2129694,21 MOUNT HOPE PLACE,Bronx,HOPE PLACE LLC,2,3,0.00%,HIGH,Executive Summary: Elevated Risk and Active Concerns at 21 Mount Hope Place
2014590,2230 UNIVERSITY AVENUE,Bronx,2230 UNIVERSITY AVENUE LLC,2,9,0.00%,CRITICAL,Proactive Elevator Service Monitoring Strategy for 2230 University Avenue
2013766,2244 CRESTON AVENUE,Bronx,"LSL SERVICES, INC.",2,3,0.28%,HIGH,Critical Elevator Reliability Concerns at 2244 Creston Avenue Warrant Immediate Oversight
2013770,2255 GRAND CONCOURSE,Bronx,PARKASH 2255 LLC,2,15,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 2255 Grand Concourse Requires Immediate Intervention
2013998,2255 MORRIS AVENUE,Bronx,"2255 MORRIS AVENUE, LLC",2,9,0.00%,CRITICAL,Critical Elevator Reliability Concerns at 2255 Morris Avenue: Escalating Tenant Frustration and Persistent Malfunctions
2014593,2260 UNIVERSITY AVENUE,Bronx,2260 AVE LLC,2,16,0.00%,HIGH,Critical Elevator Safety and Service Failures at 2260 University Avenue Demand Immediate Intervention
2013767,2264 CRESTON AVENUE,Bronx,REEDY ASSOCIATES LLC D,2,8,0.00%,CRITICAL,Critical Deterioration of Elevator Service at 2264 Creston Avenue Requires Urgent Action
2014233,2290 DAVIDSON AVENUE,Bronx,NEIGHBORHOOD RENEWAL HOUSING DEVELOPMENT  FUND CORP,2,7,0.00%,HIGH,"Chronic Elevator Unreliability Persists at 2290 DAVIDSON AVENUE, Prompting Urgent Action"
2014011,2325 MORRIS AVENUE,Bronx,PARKASH 2325 LLC,2,9,0.00%,HIGH,Urgent Elevator Reliability Concerns at 2325 Morris Avenue Warrant Immediate Action
2013912,2435 CRESTON AVENUE,Bronx,DAKA HOLDINGS LLC,2,8,0.00%,HIGH,Chronic Elevator Malfunctions at 2435 Creston Avenue Demand Immediate Intervention
2013831,2625 GRAND CONCOURSE,Bronx,PARKASH 2625 LLC,2,12,0.00%,HIGH,Escalating Elevator Unreliability at 2625 Grand Concourse Requires Immediate Intervention
2015260,2685 UNIVERSITY AVENUE,Bronx,ARDOWORK CORPORATION,2,5,0.28%,HIGH,Elevator Reliability Concerns Persist at 2685 University Avenue Amidst Chronic Outages and Tenant Frustration
2015182,2695 HEATH AVENUE,Bronx,"2695 HEATH REALTY,",2,5,0.28%,HIGH,Persistent Elevator Malfunctions and Severe Tenant Frustration at 2695 Heath Avenue Demand Immediate Intervention
2015372,2766 SEDGWICK AVENUE,Bronx,SEDGWICK MGT LLC,2,3,0.00%,HIGH,"Chronic Elevator Malfunctions Plague 2766 SEDGWICK AVENUE, Fueling Tenant Frustration"
2015514,2785 SEDGWICK AVENUE,Bronx,MAX T LLC D,2,5,0.00%,CRITICAL,Critical Elevator Malfunctions at 2785 Sedgwick Avenue Demand Immediate Intervention and Comprehensive Resolution
2015581,2857 SEDGEWICK AVENUE,Bronx,2857 SEDGWICK,2,4,0.00%,CRITICAL,Urgent Intervention Required: Elevators at 2857 SEDGEWICK AVENUE Present Critical Risk and Severe Tenant Distress
2015734,2899 KINGSBRIDGE TERRACE,Bronx,PARKASH 2899 LLC,2,5,0.00%,HIGH,Elevator Safety Concerns Persist at 2899 KINGSBRIDGE TERRACE Amidst Recurring Breakdowns
2017597,2914 JEROME AVENUE,Bronx,MH JEROME LLC,2,3,0.00%,HIGH,Executive Summary: Persistent Elevator Malfunctions at 2914 Jerome Avenue Require Urgent Intervention
2017622,2922 GRAND CONCOURSE,Bronx,2922 LLC,2,3,0.28%,HIGH,"Chronic Elevator Issues and Tenant Frustration Persist at 2922 GRAND CONCOURSE, Complicated by Data Irregularities"
2017311,3065 GRAND CONCOURSE,Bronx,AQUA 3065 GC LLC,2,5,0.00%,HIGH,Elevator Performance Deteriorating at 3065 Grand Concourse Amidst Escalating Complaints and Tenant Frustration
2015936,3075 HEATH AVENUE,Bronx,V & G HEATH AVE RLTYCO.,2,8,0.28%,CRITICAL,Chronic Elevator Maintenance Failures at 3075 Heath Avenue Demand Immediate Intervention
2008431,37 FEATHERBED LANE,Bronx,H & A MGMT LLC,2,11,0.00%,HIGH,Elevator System at 37 Featherbed Lane: Chronic Malfunctions Require Urgent Intervention
2014000,61 EAST 182 STREET,Bronx,DOBRO HOLDINGS LLC,2,3,0.28%,CRITICAL,Critical Elevator Malfunction at 61 East 182 Street: Chronic Issues Demand Immediate Intervention
2007635,105 EAST  177 STREET,Bronx,105 EAST 177TH ASSOCIATES LLC,1,3,0.00%,HIGH,Elevator System at 105 EAST 177 STREET: Chronic Malfunctions Require Immediate Intervention
2007618,110 MOUNT HOPE PLACE,Bronx,110 MT HOPE LLC,1,5,0.00%,CRITICAL,Critical Elevator System Failures at 110 Mount Hope Place Demand Urgent Intervention
2015913,147 WEST  230 STREET,Bronx,147 W 230 LLC,1,3,0.00%,HIGH,"Elevator at 147 WEST 230 STREET Plagued by Chronic Outages and Deep Tenant Frustration, Requiring Immediate Advocacy"
2008873,1473 POPHAM AVENUE,Bronx,ARISTA UAC PROPERTIES LP,1,11,0.00%,CRITICAL,Critical Elevator Safety and Reliability Concerns at 1473 Popham Avenue
2120057,1521 UNDERCLIFF AVENUE,Bronx,"SEDGWICK HOUSING DEVELOPMENT FUND COMPAN Y, INC.,",1,10,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 1521 Undercliff Avenue Demands Immediate Intervention
2009173,1535 UNDERCLIFF AVENUE,Bronx,CM 1535 UNDERCLIFF LLC,1,10,0.00%,CRITICAL,Urgent Intervention Required: Persistent Elevator Malfunctions at 1535 UNDERCLIFF AVENUE Pose Critical Risk
2124482,1610 SEDGWICK AVENUE,Bronx,"SEDGWICK HOUSING DEVELOPMENT FUND COMPAN Y, INC.,",1,3,0.00%,HIGH,Persistent Elevator Malfunctions at 1610 Sedgwick Avenue Demand Urgent Intervention
2101324,1616 GRAND AVENUE,Bronx,HILL HOUSING DEVELOPMENT FUND CORPORATIO N,1,3,0.00%,MODERATE,Elevator Reliability Concerns Persist at 1616 Grand Avenue Amidst Chronic Malfunctions and Tenant Frustration
2008447,1630 MACOMBS ROAD,Bronx,"1630 MACOMBS HOUSING DEVELOPMENT FUND CO ., INC.",1,3,0.00%,HIGH,"Chronic Elevator Malfunctions Plague 1630 Macombs Road, Urgent Action Required"
2116637,1640 MACOMBS ROAD,Bronx,MACOMB ROAD HOUSING DEVELOPMENT FUND,1,3,0.00%,HIGH,Elevator System at 1640 Macombs Road (BIN 2116637) Requires Urgent Intervention Due to Chronic Stalls and Elevated Resident Distress
2009002,1660 ANDREWS AVENUE SOUTH,Bronx,ARISTA UAC PROPERTIES LP,1,7,0.00%,CRITICAL,Critical Elevator Malfunctions at 1660 Andrews Avenue South Fuel High Tenant Frustration and Urgent Advocacy
2008159,1677 TOWNSEND AVENUE,Bronx,TOWNSEND PARTNERS LLC,1,3,0.00%,HIGH,"Chronic Elevator Malfunctions Persist at 1677 TOWNSEND AVENUE, Demanding Urgent Intervention"
2008348,1694 DAVIDSON AVENUE,Bronx,TPT DAVIDSON AVENUE LLC,1,3,0.00%,HIGH,Chronic Elevator Failures at 1694 Davidson Avenue Demand Immediate Intervention
2009013,1730 ANDREWS AVENUE,Bronx,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,1,3,0.00%,HIGH,Chronic Elevator Unreliability at 1730 Andrews Avenue Requires Immediate Proactive Intervention
2008177,1735 TOWNSEND AVENUE,Bronx,MOUNT HOPE PRESERVATION APARTMENTS 1A HO USING,1,6,0.00%,HIGH,Persistent Elevator Malfunctions at 1735 TOWNSEND AVENUE Demand Immediate Intervention
2008513,1740 GRAND AVENUE,Bronx,TOLENTINE-ZEISER HOUSING DEVELOPMENT FUN D CORPORAT,1,3,0.00%,HIGH,Persistent Elevator Malfunctions and Tenant Frustration at 1740 Grand Avenue Demand Urgent Intervention
2007857,1749 GRAND CONCOURSE,Bronx,HP 1749 GRAND CONCOURSE & 2755-69 SEDGWI CK HOUSING,1,4,0.00%,CRITICAL,Critical Elevator Malfunctions at 1749 Grand Concourse Demand Immediate Intervention
2115886,1750 DAVIDSON AVENUE,Bronx,"1750 DAVIDSON AVENUE, L.P.",1,4,0.00%,HIGH,Elevator Performance and Tenant Assurance Concerns at 1750 Davidson Avenue
2118205,1752 WALTON AVENUE,Bronx,"HPDC2 HOUSING DEVELOPMENT FUND COMPANY,  INC.",1,8,0.00%,HIGH,Elevator System at 1752 Walton Avenue Requires Immediate Intervention Due to Persistent Breakdowns and High Tenant Distress
2009009,1760 MONTGOMERY AVENUE,Bronx,1760-1770 LLC,1,4,0.00%,HIGH,Elevator System at 1760 Montgomery Avenue Requires Urgent Intervention Due to Frequent Outages and High Community Frustration
2007451,1771 MONROE AVENUE,Bronx,SOBRO MONROE COURT HOUSING DEVELOPMENT F UND CORP.,1,14,0.00%,CRITICAL,Critical Elevator Malfunctions and Safety Concerns at 1771 Monroe Avenue Demand Urgent Action
2008519,1775 DAVIDSON AVENUE,Bronx,A DAVIDSON LLC,1,5,0.00%,HIGH,Critical Elevator Service Failures at 1775 Davidson Avenue Demand Immediate Intervention
2008216,1775 WALTON AVENUE,Bronx,1785 WALTON AVENUE ASSOCIATES LP,1,4,0.00%,HIGH,Elevator System at 1775 Walton Avenue Requires Immediate Intervention Due to Chronic Failure and High Tenant Frustration
2007446,1790 WEEKS AVENUE,Bronx,WEEKS REALTY ASSOCIATES LLC,1,5,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 1790 Weeks Avenue Demands Urgent Intervention
2007512,1810 WEEKS AVENUE,Bronx,JACK WEEKS,1,3,0.00%,HIGH,Executive Summary: Persistent Elevator Systemic Failures at 1810 Weeks Avenue Require Proactive Monitoring and Remediation
2007894,1815 GRAND CONCOURSE,Bronx,"G.C.R. REALTY CO., LLC",1,8,0.00%,HIGH,Elevator Reliability Crisis at 1815 Grand Concourse Requires Urgent Intervention
2007545,1855 MONROE AVENUE,Bronx,"1855 REALTY, LLC",1,5,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 1855 Monroe Avenue Demands Immediate Intervention
2007622,1892 MORRIS AVENUE,Bronx,"MOUNT HOPE RENAISSANCE HDFC, INC.",1,4,0.00%,HIGH,Chronic Elevator Failures at 1892 Morris Avenue Demand Urgent Intervention
2014984,1901 LORING PLACE,Bronx,LORING PLACE REALTY LLC,1,3,0.00%,HIGH,Executive Summary: Persistent Elevator Malfunctions at 1901 Loring Place Mandate Urgent Intervention
2014993,1920 OSBORNE PLACE,Bronx,OZ REALTY LLC,1,10,0.00%,HIGH,Executive Summary: Critical Elevator Malfunctions and Tenant Frustration at 1920 Osborne Place
2014693,1940 ANDREWS AVENUE SOUTH,Bronx,NISYM REALTY CORP,1,3,0.00%,CRITICAL,Critical Elevator Unreliability at 1940 ANDREWS AVENUE SOUTH Demands Immediate Intervention
2007924,1970 WALTON AVENUE,Bronx,MDRJ  LLC,1,6,0.00%,HIGH,Chronic Elevator Malfunctions Fuel Extreme Tenant Frustration at 1970 Walton Avenue
2007944,2020 WALTON AVENUE,Bronx,2020 REALTY LLC,1,5,0.00%,HIGH,Persistent Elevator Component Failures and High Tenant Frustration at 2020 Walton Avenue
2008633,2021 DAVIDSON AVENUE,Bronx,"DAVIDSON NYC, LLC",1,4,0.00%,HIGH,Critical Assessment: Persistent Elevator Malfunctions at 2021 Davidson Avenue Demand Immediate Intervention
2120660,2065 MORRIS AVENUE,Bronx,"2065 MORRIS AVENUE ASSOCIATES, L.P.",1,4,0.00%,CRITICAL,"Critical Elevator Malfunctions Persist at 2065 Morris Avenue, Demanding Urgent Intervention"
2013843,2083 CRESTON AVENUE,Bronx,RECLAIM ROUND II HOUSING DEVELOPMENT FUN D CORPORAT,1,6,0.28%,HIGH,Elevator Performance Monitoring Urgently Recommended for 2083 Creston Avenue Due to Chronic Malfunctions and Escalating Tenant Frustration
2114118,2087 CRESTON AVENUE,Bronx,"CRESTON AVENUE ASSOCIATES, L.P.",1,9,0.00%,CRITICAL,CRITICAL: Chronic Elevator Malfunctions and Safety Concerns Demand Urgent Intervention at 2087 Creston Avenue
2013842,2095 CRESTON AVENUE,Bronx,2095 CRESTON AVENUE REALTY LLC,1,5,0.00%,HIGH,Persistent Elevator Failures and Recurring Safety Concerns at 2095 Creston Avenue Demand Urgent Intervention
2124721,2165 GRAND AVENUE,Bronx,2165 REALTY CORP.,1,3,0.00%,HIGH,Executive Summary: Escalating Elevator Malfunctions at 2165 Grand Avenue Require Immediate Intervention
2014580,2170 UNIVERSITY AVENUE,Bronx,2170 U LLC,1,4,0.00%,HIGH,Critical Elevator Malfunctions at 2170 University Avenue Demand Immediate Intervention
2014184,2176 GRAND AVENUE,Bronx,2176 LLC,1,6,0.00%,HIGH,Elevator System at 2176 Grand Avenue Exhibits High Risk Due to Chronic Malfunctions
2014203,2200 GRAND AVENUE,Bronx,2200 GRAND LLC,1,3,0.00%,HIGH,Executive Summary: Urgent Action Required for Chronic Elevator Malfunctions at 2200 GRAND AVENUE (BIN 2014203)
2013851,2200 MORRIS AVENUE,Bronx,2200 MORRIS REALTY CORP,1,12,0.00%,HIGH,Chronic Elevator Failures at 2200 Morris Avenue Demand Urgent Intervention
2014205,2201 DAVIDSON AVENUE,Bronx,NEIGHBORHOOD RESTORE HOUSING DEVELOPMENT  FUND CORP,1,8,0.00%,HIGH,Persistent Elevator Malfunctions at 2201 Davidson Avenue Highlight Urgent Need for Proactive Intervention
2124988,2238 CRESTON AVENUE,Bronx,"2238 CRESTON AVENUE, LLC",1,11,0.00%,HIGH,Elevator System at 2238 CRESTON AVENUE Requires Urgent Intervention Amidst Chronic Malfunctions and Tenant Frustration
2017273,227 EAST  203 STREET,Bronx,227 E 203 REALTY LLC,1,3,0.00%,HIGH,Chronic Elevator Malfunctions and Tenant Frustration at 227 East 203 Street Demand Immediate Action
2014745,2305 UNIVERSITY AVENUE,Bronx,2305 AVENUE LLC D,1,4,0.00%,HIGH,Persistent Elevator Malfunctions at 2305 UNIVERSITY AVENUE Highlight Urgent Safety and Service Concerns
2013774,2310 CRESTON AVENUE,Bronx,M.M.D. SUPPLY LTD.,1,9,0.00%,CRITICAL,Executive Summary: Critical Elevator Malfunctions and Systemic Issues at 2310 CRESTON AVENUE
2013890,2315 CRESTON AVENUE,Bronx,EKTO REALTY CORP,1,6,0.00%,HIGH,Proactive Elevator Monitoring and Intervention Required for 2315 Creston Avenue
2014004,2324 WALTON AVENUE,Bronx,2324 LLC,1,5,0.00%,HIGH,Elevator System at 2324 Walton Avenue Poses High Risk Amidst Chronic Failures and Growing Tenant Frustration
2127427,2388 CRESTON AVENUE,Bronx,CRESTON AVE HOUSING DEVELOPMENT FUND COR P,1,3,0.00%,HIGH,Building 2388 Creston Avenue: Urgent Need for Proactive Elevator Performance Monitoring
2130756,2436 WALTON AVENUE,Bronx,2434-2436 WALTON AVENUE LLC,1,12,0.00%,CRITICAL,Critical Elevator Reliability Concerns at 2436 WALTON AVENUE: Persistent Malfunctions and Tenant Frustration
2092429,2485 DEVOE TERRACE,Bronx,DEVOEWEBB LLC,1,3,0.00%,HIGH,Critical Review: Persistent Elevator System Failures at 2485 Devoe Terrace Warrant Urgent Action
2014445,2501 DAVIDSON AVENUE,Bronx,DAVIDSON APARTMENTSLLC,1,5,0.00%,HIGH,Persistent Elevator Malfunctions at 2501 Davidson Avenue Demand Immediate Corrective Action
2092426,2609 AQUEDUCT AVENUE,Bronx,2609-2610 LLC,1,3,0.00%,HIGH,Elevator Reliability Concerns at 2609 Aqueduct Avenue: Persistent Outages Fuel Tenant Frustration
2092425,2610 UNIVERSITY AVENUE,Bronx,2609-2610 LLC,1,4,0.00%,HIGH,Elevator Safety Concerns Persist at 2610 University Avenue: High Risk Identified
2017483,2675 CRESTON AVENUE,Bronx,PARKASH 2675 LLC,1,7,0.00%,HIGH,Urgent Action Required: Persistent Elevator Malfunctions at 2675 Creston Avenue Demand Proactive Monitoring
2015248,2691 RESERVOIR AVENUE,Bronx,PARKASH 2691 LLC,1,20,0.00%,CRITICAL,Elevator System at 2691 Reservoir Avenue Poses Critical Risk Due to Chronic Failures and Worsening Reliability
2008621,27 WEST TREMONT AVENUE,Bronx,"CARR PROPERTIES CH1, INC.",1,3,0.00%,HIGH,Chronic Elevator Malfunctions at 27 West Tremont Avenue Necessitate Immediate Intervention
2017427,2701 GRANDCONCOURSE,Bronx,"2701 GRAND ASSOCIATES, LLC",1,3,0.00%,HIGH,"Elevator Reliability Concerns Escalate at 2701 GRANDCONCOURSE, Prompting Urgent Intervention"
2015299,2764 UNIVERSITY AVENUE,Bronx,2764-66 REALTY LLC.,1,5,0.00%,CRITICAL,Critical Elevator Service Failures at 2764 University Avenue Demand Urgent Intervention
2015702,2765 KINGSBRIDGE TERRACE,Bronx,2765 KINGSBRIDGE TERRACE,1,4,0.00%,HIGH,Elevator System at 2765 KINGSBRIDGE TERRACE Requires Immediate Attention Due to Chronic Failures
